Vaccine/Sample	Dose	Geography Type	Geography	Survey Year	Dimension Type	Dimension	Estimate (%)	95% CI (%)	Sample Size
HPV	≥1 Dose, Females	HHS Regions/National	United States	2006	Age	13-17 Years	1.0	0.6 to 1.8	1335
HPV	≥1 Dose, Females	HHS Regions/National	United States	2007	Age	13-17 Years	25.1	22.3 to 28.1	1441
HPV	≥1 Dose, Females	HHS Regions/National	Region 1	2007	Age	13-17 Years	37.6	25.7 to 51.2	90
HPV	≥1 Dose, Females	HHS Regions/National	Region 2	2007	Age	13-17 Years	38.2	28.1 to 49.5	105
HPV	≥1 Dose, Females	HHS Regions/National	Region 3	2007	Age	13-17 Years	27.1	19.5 to 36.3	183
HPV	≥1 Dose, Females	HHS Regions/National	Region 4	2007	Age	13-17 Years	21.0	15.5 to 27.8	262
HPV	≥1 Dose, Females	HHS Regions/National	Region 5	2007	Age	13-17 Years	20.3	15.2 to 26.6	281
HPV	≥1 Dose, Females	HHS Regions/National	Region 6	2007	Age	13-17 Years	22.9	15.5 to 32.7	156
HPV	≥1 Dose, Females	HHS Regions/National	Region 7	2007	Age	13-17 Years	22.9	14.6 to 34.0	81
HPV	≥1 Dose, Females	HHS Regions/National	Region 8	2007	Age	13-17 Years	20.3	11.6 to 33.1	54
HPV	≥1 Dose, Females	HHS Regions/National	Region 9	2007	Age	13-17 Years	29.0	20.5 to 39.2	170
HPV	≥1 Dose, Females	States/Local Areas	Alabama	2008	Age	13-17 Years	32.8	25.5 to 41.1	185
HPV	≥1 Dose, Females	States/Local Areas	Alaska	2008	Age	13-17 Years	38.8	30.6 to 47.8	149
HPV	≥1 Dose, Females	States/Local Areas	Arizona	2008	Age	13-17 Years	50.5	40.3 to 60.7	120
HPV	≥1 Dose, Females	States/Local Areas	Arkansas	2008	Age	13-17 Years	22.4	16.2 to 30.2	185
HPV	≥1 Dose, Females	States/Local Areas	California	2008	Age	13-17 Years	46.6	36.1 to 57.5	150
HPV	≥1 Dose, Females	States/Local Areas	Colorado	2008	Age	13-17 Years	33.5	25.6 to 42.6	181
HPV	≥1 Dose, Females	States/Local Areas	Connecticut	2008	Age	13-17 Years	45.0	35.6 to 54.8	143
HPV	≥1 Dose, Females	States/Local Areas	Delaware	2008	Age	13-17 Years	46.8	37.9 to 56.0	164
HPV	≥1 Dose, Females	States/Local Areas	District of Columbia	2008	Age	13-17 Years	38.7	30.0 to 48.3	161
HPV	≥1 Dose, Females	States/Local Areas	Florida	2008	Age	13-17 Years	36.7	26.8 to 48.0	149
HPV	≥1 Dose, Females	States/Local Areas	Georgia	2008	Age	13-17 Years	18.5	13.0 to 25.6	167
